Customer_ID,Customer_Name,Date_of_Birth,Gender,Occupation,Income,Marital_Status,Region
205400001,Touhid Shams,7/23/1980,M,Journalist,17937,Single,Chattogram
205400002,Oishi Rani,3/1/1967,F,Freelancer,26451,Single,Sylhet
205400003,Abdul Anam,4/20/1969,M,Government Officer,28714,Married,Chattogram
205400004,Nargis Habiba,12/28/1980,F,Entrepreneur,57502,Married,Mymensingh
205400005,Sumon Haque,1/24/2001,M,Doctor,119932,Married,Dhaka
205400006,Sharif Anam,10/25/1971,M,Lawyer,59963,Married,Khulna
205400007,Fatima Naznin,8/23/1982,F,Government Officer,65048,Single,Sylhet
205400008,Lamia Bristi,6/21/2001,F,Entrepreneur,63793,Married,Sylhet
205400009,Riyad Ahsan,6/8/1975,M,Government Officer,91937,Married,Dhaka
205400010,Noman Noor,7/29/1999,M,NGO Worker,53873,Single,Chattogram
205400011,Jannat Kanta,11/20/2001,F,Journalist,37626,Married,Barisal
205400012,Mim Nahar,4/30/1998,F,Delivery Agent,13657,Married,Khulna
205400013,Anwar Bashar,5/23/1976,M,Driver,11120,Married,Mymensingh
205400014,Ashraf Miah,12/12/1979,M,Farmer,24292,Married,Barisal
205400015,Tamim Khaled,4/5/1987,M,Entrepreneur,30895,Married,Rangpur
205400016,Tasnim Naznin,10/10/2000,F,Retailer,30113,Single,Sylhet
205400017,Noman Mirza,5/17/1983,M,Lawyer,72247,Single,Rangpur
205400018,Sabbir Jahan,6/2/1998,M,Farmer,21451,Single,Chattogram
205400019,Mou Tabassum,1/14/1995,F,Technician,29578,Married,Rangpur
205400020,Tamim Beg,3/5/1979,M,Journalist,23612,Single,Dhaka
205400021,Shahed Selim,7/20/1984,M,Accountant,39588,Single,Khulna
205400022,Jahid Mahmud,8/13/1999,M,Student,5151,Married,Rangpur
205400023,Jubair Aslam,4/11/2001,M,Marketing Executive,48494,Married,Rangpur
205400024,Shahid Nizam,12/24/1984,M,Driver,17546,Married,Khulna
205400025,Ashraf Reza,10/7/1995,M,Artist,24140,Married,Rangpur
205400026,Oishi Faria,8/30/1987,F,Engineer,51018,Married,Dhaka
205400027,Shahed Shams,12/25/1966,M,Farmer,10577,Married,Rangpur
205400028,Tasnim Zara,4/23/1969,F,Call Center Agent,21640,Married,Sylhet
205400029,Rokeya Nazma,4/13/2002,F,NGO Worker,53649,Married,Chattogram
205400030,Nayeem Selim,8/23/1991,M,Electrician,13393,Single,Rangpur
205400031,Nafis Miah,2/21/1970,M,Technician,24644,Married,Chattogram
205400032,Zahid Ahsan,10/20/1987,M,Retailer,46007,Married,Barisal
205400033,Fatima Lucky,8/29/1988,F,Businessman,127125,Married,Rangpur
205400034,Saiful Mazumder,1/20/1967,M,Driver,15742,Married,Rangpur
205400035,Moin Miah,12/15/1982,M,Government Officer,97981,Married,Sylhet
205400036,Rafiq Uddin,6/21/1986,M,Freelancer,33081,Married,Dhaka
205400037,Meherin Anjum,1/2/1972,F,NGO Worker,66827,Married,Dhaka
205400038,Moin Chowdhury,8/20/1993,M,Call Center Agent,38152,Single,Khulna
205400039,Kamal Sarker,12/4/1971,M,Accountant,55317,Married,Barisal
205400040,Shuvo Siddique,9/7/1977,M,Retailer,16162,Married,Rajshahi
205400041,Anwar Rumi,7/1/1997,M,Call Center Agent,20943,Divorced,Rajshahi
205400042,Parvez Monir,6/25/1999,M,Doctor,154947,Married,Barisal
205400043,Rubel Khan,10/12/1993,M,Farmer,16365,Single,Khulna
205400044,Tamim Latif,8/11/1989,M,Driver,13349,Married,Chattogram
205400045,Meherin Anika,5/21/1982,F,Lawyer,103020,Single,Dhaka
205400046,Tanzim Shams,12/31/1981,M,Retailer,49527,Married,Rangpur
205400047,Tariq Rumi,9/18/1981,M,Accountant,38962,Married,Barisal
205400048,Kamal Reza,1/17/1987,M,Pharmacist,31617,Single,Khulna
205400049,Iqbal Talukder,5/4/1984,M,Entrepreneur,20955,Single,Barisal
205400050,Jubair Mirza,4/19/1974,M,Freelancer,49802,Single,Chattogram
205400051,Mou Nahar,3/11/1967,F,Marketing Executive,66013,Married,Rajshahi
205400052,Rubel Patwary,7/30/1971,M,Plumber,10266,Married,Sylhet
205400053,Faruq Rumi,9/28/1988,M,Entrepreneur,60364,Married,Rajshahi
205400054,Jeba Lucky,7/26/1999,F,Journalist,45783,Married,Mymensingh
205400055,Farhan Bhuiyan,10/29/1965,M,Journalist,59368,Single,Rangpur
205400056,Asif Harun,11/4/1995,M,NGO Worker,56517,Married,Sylhet
205400057,Elma Jahan,11/1/1969,F,Retailer,39325,Single,Mymensingh
205400058,Rashed Beg,11/24/1971,M,Technician,12413,Married,Sylhet
205400059,Saikat Anam,10/27/1994,M,Lawyer,47546,Single,Barisal
205400060,Nayeem Bashar,2/13/1980,M,Software Developer,129213,Single,Dhaka
205400061,Lamia Rahman,4/9/1978,F,Government Officer,29109,Married,Dhaka
205400062,Tasnim Sharmeen,4/13/1990,F,Technician,18841,Married,Mymensingh
205400063,Amin Aslam,4/23/1993,M,Freelancer,70063,Single,Mymensingh
205400064,Rumi Naznin,6/23/2002,F,Student,6185,Single,Rajshahi
205400065,Zubair Bakht,1/26/1974,M,Engineer,113950,Single,Rajshahi
205400066,Jamil Hasan,2/10/1995,M,Pharmacist,28895,Single,Chattogram
205400067,Lamia Nodi,1/9/1975,F,Software Developer,127017,Single,Khulna
205400068,Shahed Rumi,2/21/1975,M,Driver,10290,Married,Khulna
205400069,Parvez Talukder,8/19/1984,M,Farmer,21525,Single,Khulna
205400070,Tariq Khaled,11/7/1998,M,Retailer,40394,Single,Mymensingh
205400071,Imran Naser,9/25/1973,M,Delivery Agent,15885,Single,Rangpur
205400072,Mamun Nizam,7/9/1971,M,Banker,52074,Single,Barisal
205400073,Wasim Habib,2/18/1983,M,Mechanic,12912,Single,Sylhet
205400074,Zubair Alam,9/5/1966,M,Journalist,23496,Single,Khulna
205400075,Niloy Mazumder,9/13/1981,M,Doctor,150202,Married,Mymensingh
205400076,Ananya Nodi,4/11/1973,F,Farmer,19777,Single,Barisal
205400077,Farhan Ibrahim,4/18/1990,M,Marketing Executive,27849,Married,Chattogram
205400078,Amin Noor,3/3/2003,M,Marketing Executive,66224,Single,Dhaka
205400079,Saiful Patwary,2/12/1968,M,Government Officer,79108,Married,Dhaka
205400080,Zahid Tofazzal,4/29/1989,M,Delivery Agent,11880,Married,Rajshahi
205400081,Rafiq Bhuiyan,9/14/1970,M,Plumber,17992,Married,Khulna
205400082,Elma Sharmeen,5/10/1977,F,Pharmacist,56844,Married,Dhaka
205400083,Anwar Latif,12/24/1989,M,Plumber,16252,Married,Rangpur
205400084,Fatima Parvin,8/23/1979,F,Businessman,38420,Married,Barisal
205400085,Amin Nizam,5/8/2001,M,Electrician,23304,Married,Khulna
205400086,Lamia Lina,8/4/1978,F,Software Developer,85709,Single,Sylhet
205400087,Tania Shila,2/19/1996,F,Lawyer,112787,Single,Rangpur
205400088,Farhan Aslam,6/27/1997,M,Artist,14620,Single,Mymensingh
205400089,Zahid Mazumder,9/22/1985,M,Journalist,20033,Single,Dhaka
205400090,Afrin Akhter,4/22/1968,F,Journalist,22200,Married,Dhaka
205400091,Iqbal Habib,11/4/1971,M,Delivery Agent,16230,Married,Chattogram
205400092,Lamia Akhter,5/7/2000,F,Lawyer,55928,Married,Rajshahi
205400093,Raihan Rahman,9/27/1990,M,Technician,25394,Single,Chattogram
205400094,Rony Quddus,10/30/1976,M,Engineer,159065,Married,Chattogram
205400095,Riyad Beg,6/22/1990,M,Marketing Executive,33135,Married,Sylhet
205400096,Kawsar Ali,2/23/1979,M,Call Center Agent,32398,Divorced,Sylhet
205400097,Arifa Lina,7/31/1997,F,Software Developer,172454,Married,Rajshahi
205400098,Oyshee Ruksana,11/5/1967,F,Software Developer,56866,Single,Chattogram
205400099,Zunaid Rafique,3/8/1969,M,Lawyer,65952,Married,Chattogram
205400100,Tasnim Akhter,6/26/2003,F,Farmer,11393,Single,Barisal
205400101,Mahbub Rashid,4/14/1996,M,Businessman,112257,Single,Barisal
205400102,Munni Nahar,3/13/1970,F,Mechanic,19289,Married,Dhaka
205400103,Shahed Noor,12/27/1978,M,Software Developer,163079,Single,Barisal
205400104,Shirin Nahar,1/23/1965,F,Retailer,33015,Married,Rangpur
205400105,Noman Sobhan,6/28/1969,M,Accountant,68785,Married,Mymensingh
205400106,Rumi Chowdhury,7/17/1974,F,Marketing Executive,29535,Single,Chattogram
205400107,Nazmul Shah,4/21/2001,M,Lawyer,145806,Single,Rangpur
205400108,Shamim Patwary,2/13/1979,M,Lawyer,102102,Single,Sylhet
205400109,Parvez Shams,9/20/1979,M,Accountant,91917,Married,Dhaka
205400110,Nishat Faria,7/20/1997,F,Accountant,65091,Single,Rajshahi
205400111,Tania Sumi,11/29/1976,F,Accountant,63852,Married,Mymensingh
205400112,Maruf Ali,2/9/1992,M,Engineer,100206,Single,Chattogram
205400113,Rifat Maliha,4/6/1975,F,Delivery Agent,16441,Married,Khulna
205400114,Oyshee Sharmeen,5/3/1973,F,Businessman,126931,Married,Khulna
205400115,Badrul Haider,3/12/1965,M,Businessman,129242,Single,Rajshahi
205400116,Riyad Sami,2/20/1984,M,Banker,79746,Married,Barisal
205400117,Nishat Anika,12/7/1967,F,Journalist,57329,Married,Barisal
205400118,Rumana Khatun,10/16/1982,F,NGO Worker,35822,Single,Dhaka
205400119,Shamim Mazumder,3/15/1966,M,Businessman,89968,Married,Barisal
205400120,Niloy Habib,4/5/1983,M,Software Developer,69804,Single,Rajshahi
205400121,Arifa Moni,9/6/1966,F,Freelancer,60921,Married,Dhaka
205400122,Tariq Beg,8/8/1977,M,Doctor,165556,Single,Rangpur
205400123,Badrul Ali,11/22/1991,M,Accountant,69362,Married,Rangpur
205400124,Mitu Faria,7/6/1993,F,Pharmacist,59001,Married,Khulna
205400125,Salman Selim,2/11/1968,M,Marketing Executive,55624,Single,Rajshahi
205400126,Shahed Rahman,4/2/2001,M,Freelancer,23962,Single,Dhaka
205400127,Sajid Ali,10/17/2000,M,Accountant,91411,Single,Chattogram
205400128,Farhan Talukder,10/25/1986,M,Accountant,59087,Married,Barisal
205400129,Mamun Zaman,11/27/1978,M,Plumber,19756,Single,Rajshahi
205400130,Trisha Rani,12/3/1984,F,Doctor,188360,Single,Chattogram
205400131,Sanzida Khatun,10/13/1969,F,Accountant,85459,Married,Dhaka
205400132,Asif Rashid,8/20/1992,M,Lawyer,43096,Single,Chattogram
205400133,Sumaiya Tabassum,11/9/1977,F,Lawyer,78499,Single,Barisal
205400134,Jamil Bakht,2/4/2003,M,Government Officer,80426,Married,Rajshahi
205400135,Faruq Jahan,6/20/1975,M,Journalist,58619,Married,Khulna
205400136,Maisha Naznin,5/1/1990,F,Technician,25341,Divorced,Barisal
205400137,Salma Khatun,4/4/1972,F,Entrepreneur,44990,Married,Chattogram
205400138,Shuvo Shah,10/26/1999,M,NGO Worker,64545,Single,Rajshahi
205400139,Rumana Naznin,7/4/1975,F,Call Center Agent,31802,Single,Dhaka
205400140,Ashraf Sobhan,6/27/1967,M,Pharmacist,45389,Married,Sylhet
205400141,Ayesha Ferdous,2/7/1993,F,Freelancer,62981,Divorced,Rajshahi
205400142,Amin Mazumder,4/24/1982,M,Call Center Agent,23659,Divorced,Mymensingh
205400143,Rubel Noor,4/19/2002,M,Mechanic,19477,Single,Mymensingh
205400144,Wasim Hasan,6/23/1990,M,Artist,66954,Single,Rangpur
205400145,Tariq Uddin,12/11/1971,M,Delivery Agent,14473,Married,Sylhet
205400146,Maruf Mazumder,7/24/2000,M,Artist,58906,Married,Barisal
205400147,Brishti Jahan,11/15/1981,F,Marketing Executive,46598,Divorced,Rajshahi
205400148,Amin Hasan,11/19/1971,M,Driver,17850,Married,Rangpur
205400149,Parvez Shah,5/1/1985,M,Electrician,20875,Single,Chattogram
205400150,Momena Ruma,4/8/1977,F,Journalist,52781,Single,Chattogram
205400151,Wasim Bhuiyan,8/9/1986,M,Pharmacist,50592,Married,Dhaka
205400152,Lubna Rani,4/7/1965,F,Retailer,38939,Single,Chattogram
