Loan_ID,Customer_ID,Account_ID,Product_ID,Date_Origination,Date_Closure,Loan_Amount,Interest_Rate,Default_Flag,Recovery_Amount
LN0000001,205402163,ACC205402163,PRD003,6/26/2023,12/31/2024,52373,14.97,0,0
LN0000002,205401428,ACC205401428,PRD004,1/26/2023,7/13/2024,463446,14.1,0,0
LN0000003,205403706,ACC205403706,PRD003,2/16/2022,1/23/2024,231664,14.2,0,0
LN0000004,205404307,ACC205404307,PRD004,1/9/2021,,1236924,11.8,0,0
LN0000005,205403668,ACC205403668,PRD003,12/14/2022,12/31/2024,129471,13.88,0,0
LN0000006,205400990,ACC205400990,PRD003,10/11/2023,,438986,10.59,0,0
LN0000007,205402139,ACC205402139,PRD003,9/12/2021,12/31/2024,245946,17.36,1,67055.71
LN0000008,205402760,ACC205402760,PRD003,9/4/2023,12/31/2024,385414,14.25,0,0
LN0000009,205402815,ACC205402815,PRD003,1/23/2023,,240854,17.82,0,0
LN0000010,205402677,ACC205402677,PRD004,3/13/2022,12/31/2024,678541,12.41,0,0
LN0000011,205404017,ACC205404017,PRD004,8/18/2021,1/19/2024,702207,13.64,0,0
LN0000012,205404525,ACC205404525,PRD003,10/13/2020,2/22/2022,243122,17.47,0,0
LN0000014,205402999,ACC205402999,PRD003,4/1/2023,,115034,14.69,0,0
LN0000015,205403412,ACC205403412,PRD003,5/16/2023,12/20/2024,385624,16.07,0,0
LN0000016,205400136,ACC205400136,PRD003,9/28/2022,,310816,14.24,0,0
LN0000017,205402528,ACC205402528,PRD003,8/10/2022,,204609,10.72,0,0
LN0000018,205401896,ACC205401896,PRD003,5/12/2023,,244895,13.62,0,0
LN0000019,205401528,ACC205401528,PRD003,9/22/2023,12/31/2024,208841,12.76,1,161900.83
LN0000020,205401514,ACC205401514,PRD004,2/4/2020,2/17/2024,1873849,14,0,0
LN0000021,205404880,ACC205404880,PRD003,8/20/2020,,164201,15.52,0,0
LN0000022,205402855,ACC205402855,PRD003,1/29/2024,12/31/2024,163990,10.39,0,0
LN0000023,205404682,ACC205404682,PRD003,10/28/2021,12/31/2024,392511,13,0,0
LN0000024,205402394,ACC205402394,PRD004,9/9/2023,12/31/2024,1423856,8.56,0,0
LN0000025,205403472,ACC205403472,PRD003,11/29/2023,,81653,12.66,0,0
LN0000026,205403698,ACC205403698,PRD003,4/7/2019,,381682,15.93,0,0
LN0000027,205404720,ACC205404720,PRD003,10/11/2022,12/31/2024,314616,17.13,0,0
LN0000028,205401392,ACC205401392,PRD003,12/19/2020,,272525,10.78,0,0
LN0000029,205402199,ACC205402199,PRD003,3/22/2019,7/1/2022,282675,12.67,0,0
LN0000030,205402221,ACC205402221,PRD003,1/22/2023,,157298,12.72,0,0
LN0000031,205404406,ACC205404406,PRD003,1/21/2024,,127791,15.62,0,0
LN0000032,205400869,ACC205400869,PRD003,12/3/2023,,238295,17.03,0,0
LN0000033,205401276,ACC205401276,PRD003,5/26/2024,12/31/2024,412240,15.21,0,0
LN0000034,205403072,ACC205403072,PRD003,8/15/2022,,200743,10.29,0,0
LN0000035,205403664,ACC205403664,PRD003,10/29/2023,12/31/2024,195466,15.65,1,108592.12
LN0000037,205404748,ACC205404748,PRD003,2/16/2023,,92833,15.87,0,0
LN0000038,205403107,ACC205403107,PRD003,4/10/2023,,421766,17.91,0,0
LN0000039,205404974,ACC205404974,PRD003,3/12/2021,1/21/2023,270532,16.9,0,0
LN0000040,205402372,ACC205402372,PRD003,7/5/2023,12/31/2024,106385,14.77,0,0
LN0000041,205402008,ACC205402008,PRD003,8/8/2022,12/31/2024,286206,17.96,0,0
LN0000042,205403900,ACC205403900,PRD003,5/24/2024,,54932,16.71,0,0
LN0000043,205402596,ACC205402596,PRD003,1/27/2024,,343979,16.7,0,0
LN0000044,205404623,ACC205404623,PRD004,12/1/2023,12/31/2024,1270851,14.58,0,0
LN0000045,205401397,ACC205401397,PRD003,7/4/2023,,170601,12.76,0,0
LN0000046,205401622,ACC205401622,PRD003,5/19/2021,,489334,12.35,0,0
LN0000047,205404978,ACC205404978,PRD003,4/7/2021,1/9/2024,385453,14.53,0,0
LN0000048,205403238,ACC205403238,PRD003,11/22/2021,,366592,15.89,0,0
LN0000049,205401888,ACC205401888,PRD003,4/19/2023,12/31/2024,71625,12.87,0,0
LN0000050,205403634,ACC205403634,PRD003,2/11/2024,,212714,15.57,0,0
LN0000051,205403916,ACC205403916,PRD003,8/17/2020,3/19/2023,265782,15.88,0,0
LN0000052,205402570,ACC205402570,PRD004,3/4/2024,12/31/2024,1895215,14.4,0,0
LN0000053,205404273,ACC205404273,PRD003,9/30/2018,10/5/2020,181012,15.37,0,0
LN0000054,205404727,ACC205404727,PRD004,10/6/2022,,1774848,12.15,0,0
LN0000055,205401093,ACC205401093,PRD003,9/14/2021,,325499,15.48,0,0
LN0000056,205404027,ACC205404027,PRD003,11/21/2019,8/7/2023,405929,15.05,0,0
LN0000057,205404561,ACC205404561,PRD003,2/26/2020,11/12/2024,457709,17.35,1,268205.04
LN0000058,205404848,ACC205404848,PRD004,3/25/2023,12/31/2024,333793,8.76,0,0
LN0000059,205400045,ACC205400045,PRD003,6/7/2023,10/26/2024,207866,17.09,0,0
LN0000060,205402340,ACC205402340,PRD003,11/30/2023,,389534,17.31,0,0
LN0000061,205403485,ACC205403485,PRD003,11/24/2023,,421043,11.88,0,0
LN0000062,205403906,ACC205403906,PRD003,7/6/2022,12/31/2024,385568,12.58,0,0
LN0000063,205400501,ACC205400501,PRD003,5/12/2022,,175051,16.7,0,0
LN0000064,205401664,ACC205401664,PRD003,4/6/2024,,307420,14.16,0,0
LN0000065,205403373,ACC205403373,PRD003,1/24/2023,10/3/2024,143177,14.77,0,0
LN0000066,205402510,ACC205402510,PRD003,5/9/2021,3/5/2024,284604,13.07,0,0
LN0000067,205403953,ACC205403953,PRD003,7/18/2019,6/30/2023,267258,11.18,1,118839.45
LN0000068,205404306,ACC205404306,PRD003,8/10/2021,9/11/2024,431171,17.64,0,0
LN0000069,205404400,ACC205404400,PRD003,6/24/2024,12/31/2024,130660,14.18,0,0
LN0000070,205400775,ACC205400775,PRD003,4/14/2024,,62709,14.16,0,0
LN0000071,205400922,ACC205400922,PRD004,4/17/2024,12/31/2024,633323,10.18,0,0
LN0000072,205400024,ACC205400024,PRD003,2/28/2024,12/31/2024,460491,13.45,0,0
LN0000073,205404260,ACC205404260,PRD003,7/7/2021,10/13/2023,344063,12.06,0,0
LN0000074,205401663,ACC205401663,PRD004,12/23/2023,,1054060,9.68,0,0
LN0000075,205401164,ACC205401164,PRD003,5/23/2023,12/31/2024,497729,14.13,1,288734.39
LN0000076,205401310,ACC205401310,PRD003,7/27/2023,12/31/2024,98069,13.19,0,0
LN0000077,205400222,ACC205400222,PRD004,5/27/2021,,427047,10.49,0,0
LN0000078,205403630,ACC205403630,PRD003,9/15/2020,,80679,14.16,0,0
LN0000079,205401578,ACC205401578,PRD003,2/28/2024,12/31/2024,68466,17.34,0,0
LN0000080,205402557,ACC205402557,PRD003,2/7/2024,12/31/2024,54583,16.91,0,0
LN0000081,205404501,ACC205404501,PRD003,10/3/2019,,175196,10.52,0,0
LN0000082,205404328,ACC205404328,PRD003,11/22/2019,,192428,11.48,0,0
